study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA524703	SAMN11031386	SRX5450813	SRR8652822	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/002/SRR8652822/SRR8652822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/002/SRR8652822/SRR8652822_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/002/SRR8652822
PRJNA524703	SAMN11031387	SRX5450812	SRR8652823	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/003/SRR8652823/SRR8652823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/003/SRR8652823/SRR8652823_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/003/SRR8652823
PRJNA524703	SAMN11031343	SRX5450811	SRR8652824	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/004/SRR8652824/SRR8652824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/004/SRR8652824/SRR8652824_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/004/SRR8652824
PRJNA524703	SAMN11031344	SRX5450810	SRR8652825	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/005/SRR8652825/SRR8652825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/005/SRR8652825/SRR8652825_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/005/SRR8652825
PRJNA524703	SAMN11031345	SRX5450809	SRR8652826	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/006/SRR8652826/SRR8652826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/006/SRR8652826/SRR8652826_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/006/SRR8652826
PRJNA524703	SAMN11031346	SRX5450808	SRR8652827	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/007/SRR8652827/SRR8652827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/007/SRR8652827/SRR8652827_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/007/SRR8652827
PRJNA524703	SAMN11031347	SRX5450807	SRR8652828	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/008/SRR8652828/SRR8652828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/008/SRR8652828/SRR8652828_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/008/SRR8652828
PRJNA524703	SAMN11031348	SRX5450806	SRR8652829	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/009/SRR8652829/SRR8652829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/009/SRR8652829/SRR8652829_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/009/SRR8652829
PRJNA524703	SAMN11031350	SRX5450805	SRR8652830	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/000/SRR8652830/SRR8652830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/000/SRR8652830/SRR8652830_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/000/SRR8652830
PRJNA524703	SAMN11031351	SRX5450804	SRR8652831	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/001/SRR8652831/SRR8652831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/001/SRR8652831/SRR8652831_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/001/SRR8652831
PRJNA524703	SAMN11031352	SRX5450803	SRR8652832	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/002/SRR8652832/SRR8652832_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/002/SRR8652832/SRR8652832_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/002/SRR8652832
PRJNA524703	SAMN11031353	SRX5450802	SRR8652833	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/003/SRR8652833/SRR8652833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/003/SRR8652833/SRR8652833_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/003/SRR8652833
PRJNA524703	SAMN11031437	SRX5450801	SRR8652834	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/004/SRR8652834/SRR8652834_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/004/SRR8652834/SRR8652834_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/004/SRR8652834
PRJNA524703	SAMN11031436	SRX5450800	SRR8652835	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/005/SRR8652835/SRR8652835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/005/SRR8652835/SRR8652835_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/005/SRR8652835
PRJNA524703	SAMN11031443	SRX5450799	SRR8652836	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/006/SRR8652836/SRR8652836_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/006/SRR8652836/SRR8652836_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/006/SRR8652836
PRJNA524703	SAMN11031442	SRX5450798	SRR8652837	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/007/SRR8652837/SRR8652837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/007/SRR8652837/SRR8652837_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/007/SRR8652837
PRJNA524703	SAMN11031441	SRX5450797	SRR8652838	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/008/SRR8652838/SRR8652838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/008/SRR8652838/SRR8652838_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/008/SRR8652838
PRJNA524703	SAMN11031440	SRX5450796	SRR8652839	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/009/SRR8652839/SRR8652839_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/009/SRR8652839/SRR8652839_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/009/SRR8652839
PRJNA524703	SAMN11031296	SRX5450795	SRR8652840	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/000/SRR8652840/SRR8652840_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/000/SRR8652840/SRR8652840_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/000/SRR8652840
PRJNA524703	SAMN11031433	SRX5450794	SRR8652841	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/001/SRR8652841/SRR8652841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/001/SRR8652841/SRR8652841_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/001/SRR8652841
PRJNA524703	SAMN11031432	SRX5450793	SRR8652842	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/002/SRR8652842/SRR8652842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/002/SRR8652842/SRR8652842_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/002/SRR8652842
PRJNA524703	SAMN11031431	SRX5450792	SRR8652843	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/003/SRR8652843/SRR8652843_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/003/SRR8652843/SRR8652843_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/003/SRR8652843
PRJNA524703	SAMN11031430	SRX5450791	SRR8652844	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/004/SRR8652844/SRR8652844_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/004/SRR8652844/SRR8652844_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/004/SRR8652844
PRJNA524703	SAMN11031437	SRX5450790	SRR8652845	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/005/SRR8652845/SRR8652845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/005/SRR8652845/SRR8652845_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/005/SRR8652845
PRJNA524703	SAMN11031436	SRX5450789	SRR8652846	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/006/SRR8652846/SRR8652846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/006/SRR8652846/SRR8652846_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/006/SRR8652846
PRJNA524703	SAMN11031435	SRX5450788	SRR8652847	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/007/SRR8652847/SRR8652847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/007/SRR8652847/SRR8652847_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/007/SRR8652847
PRJNA524703	SAMN11031434	SRX5450787	SRR8652848	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/008/SRR8652848/SRR8652848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/008/SRR8652848/SRR8652848_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/008/SRR8652848
PRJNA524703	SAMN11031439	SRX5450786	SRR8652849	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/009/SRR8652849/SRR8652849_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/009/SRR8652849/SRR8652849_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/009/SRR8652849
PRJNA524703	SAMN11031438	SRX5450785	SRR8652850	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/000/SRR8652850/SRR8652850_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/000/SRR8652850/SRR8652850_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/000/SRR8652850
PRJNA524703	SAMN11031400	SRX5450784	SRR8652851	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/001/SRR8652851/SRR8652851_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/001/SRR8652851/SRR8652851_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/001/SRR8652851
PRJNA524703	SAMN11031401	SRX5450783	SRR8652852	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/002/SRR8652852/SRR8652852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/002/SRR8652852/SRR8652852_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/002/SRR8652852
PRJNA524703	SAMN11031402	SRX5450782	SRR8652853	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/003/SRR8652853/SRR8652853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/003/SRR8652853/SRR8652853_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/003/SRR8652853
PRJNA524703	SAMN11031403	SRX5450781	SRR8652854	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/004/SRR8652854/SRR8652854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/004/SRR8652854/SRR8652854_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/004/SRR8652854
PRJNA524703	SAMN11031396	SRX5450780	SRR8652855	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/005/SRR8652855/SRR8652855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/005/SRR8652855/SRR8652855_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/005/SRR8652855
PRJNA524703	SAMN11031397	SRX5450779	SRR8652856	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/006/SRR8652856/SRR8652856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/006/SRR8652856/SRR8652856_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/006/SRR8652856
PRJNA524703	SAMN11031286	SRX5450778	SRR8652857	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/007/SRR8652857/SRR8652857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/007/SRR8652857/SRR8652857_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/007/SRR8652857
PRJNA524703	SAMN11031399	SRX5450777	SRR8652858	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/008/SRR8652858/SRR8652858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/008/SRR8652858/SRR8652858_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/008/SRR8652858
PRJNA524703	SAMN11031284	SRX5450776	SRR8652859	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/009/SRR8652859/SRR8652859_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/009/SRR8652859/SRR8652859_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/009/SRR8652859
PRJNA524703	SAMN11031283	SRX5450775	SRR8652860	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/000/SRR8652860/SRR8652860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/000/SRR8652860/SRR8652860_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/000/SRR8652860
PRJNA524703	SAMN11031282	SRX5450774	SRR8652861	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/001/SRR8652861/SRR8652861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/001/SRR8652861/SRR8652861_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/001/SRR8652861
PRJNA524703	SAMN11031281	SRX5450773	SRR8652862	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/002/SRR8652862/SRR8652862_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/002/SRR8652862/SRR8652862_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/002/SRR8652862
PRJNA524703	SAMN11031280	SRX5450772	SRR8652863	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/003/SRR8652863/SRR8652863_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/003/SRR8652863/SRR8652863_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/003/SRR8652863
PRJNA524703	SAMN11031405	SRX5450771	SRR8652864	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/004/SRR8652864/SRR8652864_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/004/SRR8652864/SRR8652864_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/004/SRR8652864
PRJNA524703	SAMN11031278	SRX5450770	SRR8652865	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/005/SRR8652865/SRR8652865_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/005/SRR8652865/SRR8652865_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/005/SRR8652865
PRJNA524703	SAMN11031277	SRX5450769	SRR8652866	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/006/SRR8652866/SRR8652866_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/006/SRR8652866/SRR8652866_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/006/SRR8652866
PRJNA524703	SAMN11031315	SRX5450768	SRR8652867	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/007/SRR8652867/SRR8652867_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/007/SRR8652867/SRR8652867_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/007/SRR8652867
PRJNA524703	SAMN11031321	SRX5450767	SRR8652868	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/008/SRR8652868/SRR8652868_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR865/008/SRR8652868/SRR8652868_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR865/008/SRR8652868
